departure_city,destination_city,country,date_arrive,arrival_time_difference,arrival_status,airline,airline_type,cleaned_airline
Toronto,London,Canada,2024-09-04,190,Delayed,British Airways,premium,British Airways
Bahrain,London,Bahrain,2024-09-04,0,Cancelled,British Airways,premium,British Airways
Dubai,London,United Arab Emirates,2024-09-04,-11,Early,British Airways,premium,British Airways
Bridgetown,London,Barbados,2024-09-04,-12,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,-2,Early,United Airlines,premium,United Airlines
New York,London,United States,2024-09-04,-18,Early,American Airlines,premium,American Airlines
New York,London,United States,2024-09-04,-15,Early,Virgin Atlantic,premium,Virgin Atlantic
Hong Kong,London,Hong Kong,2024-09-04,7,Delayed,Cathay Pacific Airways,premium,Cathay Pacific Airways
Atlanta,London,United States,2024-09-04,-10,Early,Delta Air Lines,premium,Delta Air Lines
Dallas,London,United States,2024-09-04,-3,Early,American Airlines,premium,American Airlines
Doha,London,Qatar,2024-09-04,-8,Early,Qatar Airways,premium,Qatar Airways
Tokyo,London,Japan,2024-09-04,-17,Early,Japan Airlines,premium,Japan Airlines
Bandar Seri Begawan,London,Brunei,2024-09-04,1,Delayed,Royal Brunei Airlines,premium,Royal Brunei Airlines
New York,London,United States,2024-09-04,-17,Early,British Airways,premium,British Airways
Singapore,London,Singapore,2024-09-04,0,Cancelled,British Airways,premium,British Airways
Montreal,London,Canada,2024-09-04,-11,Early,Air Canada,premium,Air Canada
Boston,London,United States,2024-09-04,-20,Early,JetBlue,budget,Jetblue
Chicago,London,United States,2024-09-04,0,Cancelled,British Airways,premium,British Airways
Sydney,London,Australia,2024-09-04,-15,Early,Qantas,premium,Qantas
Toronto,London,Canada,2024-09-04,-29,Early,Air Canada,premium,Air Canada
Hong Kong,London,Hong Kong,2024-09-04,24,Delayed,British Airways,premium,British Airways
Philadelphia,London,United States,2024-09-04,27,Delayed,British Airways,premium,British Airways
Detroit,London,United States,2024-09-04,-10,Early,Delta Air Lines,premium,Delta Air Lines
Washington,London,United States,2024-09-04,-15,Early,United Airlines,premium,United Airlines
New York,London,United States,2024-09-04,-33,Early,Virgin Atlantic,premium,Virgin Atlantic
Abu Dhabi,London,United Arab Emirates,2024-09-04,6,Delayed,Etihad Airways,premium,Etihad Airways
Delhi,London,India,2024-09-04,-35,Early,British Airways,premium,British Airways
Boston,London,United States,2024-09-04,-6,Early,British Airways,premium,British Airways
Hong Kong,London,Hong Kong,2024-09-04,23,Delayed,British Airways,premium,British Airways
Houston,London,United States,2024-09-04,50,Delayed,British Airways,premium,British Airways
Seattle,London,United States,2024-09-04,-35,Early,British Airways,premium,British Airways
Doha,London,Qatar,2024-09-04,-2,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,-24,Early,British Airways,premium,British Airways
Raleigh/Durham,London,United States,2024-09-04,-20,Early,American Airlines,premium,American Airlines
San Francisco,London,United States,2024-09-04,-13,Early,United Airlines,premium,United Airlines
Mumbai,London,India,2024-09-04,0,On Time,British Airways,premium,British Airways
Bahrain,London,Bahrain,2024-09-04,-21,Early,Gulf Air,premium,Gulf Air
Addis Ababa,London,Ethiopia,2024-09-04,-37,Early,Ethiopian Airlines,premium,Ethiopian Airlines
Hong Kong,London,Hong Kong,2024-09-04,9,Delayed,British Airways,premium,British Airways
Boston,London,United States,2024-09-04,-18,Early,Delta Air Lines,premium,Delta Air Lines
Miami,London,United States,2024-09-04,9,Delayed,British Airways,premium,British Airways
Dubai,London,United Arab Emirates,2024-09-04,5,Delayed,Emirates,premium,Emirates
New York,London,United States,2024-09-04,-36,Early,United Airlines,premium,United Airlines
New York,London,United States,2024-09-04,1,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Orlando,London,United States,2024-09-04,-25,Early,Virgin Atlantic,premium,Virgin Atlantic
Minneapolis/Saint Paul,London,United States,2024-09-04,6,Delayed,Delta Air Lines,premium,Delta Air Lines
Bangkok,London,Thailand,2024-09-04,5,Delayed,Thai Airways,premium,Thai Airways
Sao Paulo,London,Brazil,2024-09-04,19,Delayed,British Airways,premium,British Airways
Mulhouse/Basel,London,France/Switzerland,2024-09-04,-23,Early,British Airways,premium,British Airways
Delhi,London,India,2024-09-04,-40,Early,Virgin Atlantic,premium,Virgin Atlantic
Frankfurt,London,Germany,2024-09-04,-22,Early,British Airways,premium,British Airways
Newcastle,London,United Kingdom,2024-09-04,-1,Early,British Airways,premium,British Airways
Johannesburg,London,South Africa,2024-09-04,-40,Early,British Airways,premium,British Airways
Los Angeles,London,United States,2024-09-04,-26,Early,United Airlines,premium,United Airlines
Duesseldorf,London,Germany,2024-09-04,8,Delayed,Eurowings,budget,Eurowings
Edinburgh,London,United Kingdom,2024-09-04,-22,Early,British Airways,premium,British Airways
Hamburg,London,Germany,2024-09-04,-7,Early,British Airways,premium,British Airways
Charlotte,London,United States,2024-09-04,24,Delayed,American Airlines,premium,American Airlines
Delhi,London,India,2024-09-04,-1,Early,Air India,premium,Air India
Riyadh,London,Saudi Arabia,2024-09-04,-37,Early,Saudia,premium,Saudia
Boston,London,United States,2024-09-04,-34,Early,American Airlines,premium,American Airlines
Houston,London,United States,2024-09-04,-15,Early,United Airlines,premium,United Airlines
Amsterdam,London,Netherlands,2024-09-04,-9,Early,KLM - Royal Dutch Airlines,premium,Klm - Royal Dutch Airlines
Frankfurt,London,Germany,2024-09-04,-12,Early,Lufthansa,premium,Lufthansa
Hannover,London,Germany,2024-09-04,76,Delayed,British Airways,premium,British Airways
Bermuda,London,Bermuda,2024-09-04,-3,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,0,Cancelled,British Airways,premium,British Airways
Philadelphia,London,United States,2024-09-04,-2,Early,American Airlines,premium,American Airlines
Duesseldorf,London,Germany,2024-09-04,-10,Early,British Airways,premium,British Airways
Singapore,London,Singapore,2024-09-04,30,Delayed,Singapore Airlines,premium,Singapore Airlines
Atlanta,London,United States,2024-09-04,-4,Early,Virgin Atlantic,premium,Virgin Atlantic
Buenos Aires,London,Argentina,2024-09-04,-5,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,-49,Early,American Airlines,premium,American Airlines
Nice,London,France,2024-09-04,-21,Early,Air France,premium,Air France
Prague,London,Czech Republic,2024-09-04,-28,Early,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-04,-2,Early,Swiss International Airlines,premium,Swiss International Airlines
Los Angeles,London,United States,2024-09-04,-37,Early,American Airlines,premium,American Airlines
Amsterdam,London,Netherlands,2024-09-04,-9,Early,British Airways,premium,British Airways
Paris,London,France,2024-09-04,60,Delayed,Air France,premium,Air France
Dublin,London,Ireland,2024-09-04,-24,Early,Aer Lingus,premium,Aer Lingus
Derry,London,United Kingdom,2024-09-04,-10,Early,Loganair,budget,Loganair
Dallas,London,United States,2024-09-04,4,Delayed,American Airlines,premium,American Airlines
New York,London,United States,2024-09-04,22,Delayed,Delta Air Lines,premium,Delta Air Lines
Geneva,London,Switzerland,2024-09-04,-28,Early,British Airways,premium,British Airways
Hamburg,London,Germany,2024-09-04,38,Delayed,Eurowings,budget,Eurowings
Cologne/Bonn,London,Germany,2024-09-04,20,Delayed,Eurowings,budget,Eurowings
Saint Helier,London,Jersey,2024-09-04,-2,Early,British Airways,premium,British Airways
Manchester,London,United Kingdom,2024-09-04,15,Delayed,British Airways,premium,British Airways
Toulouse,London,France,2024-09-04,1,Delayed,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-04,-22,Early,British Airways,premium,British Airways
Belfast,London,United Kingdom,2024-09-04,-13,Early,British Airways,premium,British Airways
Copenhagen,London,Denmark,2024-09-04,22,Delayed,British Airways,premium,British Airways
Geneva,London,Switzerland,2024-09-04,-11,Early,Swiss International Airlines,premium,Swiss International Airlines
Munich,London,Germany,2024-09-04,7,Delayed,Lufthansa,premium,Lufthansa
New York,London,United States,2024-09-04,-15,Early,United Airlines,premium,United Airlines
New York,London,United States,2024-09-04,-14,Early,British Airways,premium,British Airways
Paris,London,France,2024-09-04,0,On Time,British Airways,premium,British Airways
Vienna,London,Austria,2024-09-04,-21,Early,Austrian,premium,Austrian
Madrid,London,Spain,2024-09-04,-11,Early,Iberia,premium,Iberia
Stuttgart,London,Germany,2024-09-04,14,Delayed,Eurowings,budget,Eurowings
Berlin,London,Germany,2024-09-04,-4,Early,British Airways,premium,British Airways
Goteborg,London,Sweden,2024-09-04,-2,Early,British Airways,premium,British Airways
Milan,London,Italy,2024-09-04,-7,Early,British Airways,premium,British Airways
Munich,London,Germany,2024-09-04,1,Delayed,British Airways,premium,British Airways
Nice,London,France,2024-09-04,-12,Early,British Airways,premium,British Airways
Toronto,London,Canada,2024-09-04,-18,Early,Air Canada,premium,Air Canada
Aberdeen,London,United Kingdom,2024-09-04,9,Delayed,British Airways,premium,British Airways
Edinburgh,London,United Kingdom,2024-09-04,3,Delayed,British Airways,premium,British Airways
Glasgow,London,United Kingdom,2024-09-04,14,Delayed,British Airways,premium,British Airways
Frankfurt,London,Germany,2024-09-04,81,Delayed,Lufthansa,premium,Lufthansa
Cork,London,Ireland,2024-09-04,5,Delayed,Aer Lingus,premium,Aer Lingus
Vienna,London,Austria,2024-09-04,-5,Early,British Airways,premium,British Airways
Cairo,London,Egypt,2024-09-04,37,Delayed,Egyptair,premium,Egyptair
Miami,London,United States,2024-09-04,-37,Early,Virgin Atlantic,premium,Virgin Atlantic
Copenhagen,London,Denmark,2024-09-04,-4,Early,SAS - Scandinavian Airlines,premium,Sas - Scandinavian Airlines
Boston,London,United States,2024-09-04,-23,Early,Virgin Atlantic,premium,Virgin Atlantic
Chicago,London,United States,2024-09-04,-13,Early,American Airlines,premium,American Airlines
Chicago,London,United States,2024-09-04,12,Delayed,United Airlines,premium,United Airlines
Amsterdam,London,Netherlands,2024-09-04,-11,Early,KLM - Royal Dutch Airlines,premium,Klm - Royal Dutch Airlines
Kigali,London,Rwanda,2024-09-04,-20,Early,RwandAir,premium,Rwandair
Dundee,London,United Kingdom,2024-09-04,2,Delayed,Loganair,budget,Loganair
New York,London,United States,2024-09-04,-10,Early,British Airways,premium,British Airways
Miami,London,United States,2024-09-04,-17,Early,American Airlines,premium,American Airlines
Dublin,London,Ireland,2024-09-04,1,Delayed,Aer Lingus,premium,Aer Lingus
Shannon,London,Ireland,2024-09-04,0,On Time,Aer Lingus,premium,Aer Lingus
Chicago,London,United States,2024-09-04,43,Delayed,British Airways,premium,British Airways
Barcelona,London,Spain,2024-09-04,-13,Early,British Airways,premium,British Airways
Helsinki,London,Finland,2024-09-04,-16,Early,Finnair,premium,Finnair
Manchester,London,United Kingdom,2024-09-04,-2,Early,British Airways,premium,British Airways
Oslo,London,Norway,2024-09-04,-12,Early,British Airways,premium,British Airways
Orlando,London,United States,2024-09-04,23,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Stockholm,London,Sweden,2024-09-04,0,On Time,British Airways,premium,British Airways
Budapest,London,Hungary,2024-09-04,-12,Early,British Airways,premium,British Airways
Inverness,London,United Kingdom,2024-09-04,8,Delayed,British Airways,premium,British Airways
Milan,London,Italy,2024-09-04,-8,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,9,Delayed,British Airways,premium,British Airways
Warsaw,London,Poland,2024-09-04,-11,Early,LOT Polish Airlines,premium,Lot Polish Airlines
Stockholm,London,Sweden,2024-09-04,8,Delayed,SAS - Scandinavian Airlines,premium,Sas - Scandinavian Airlines
Vienna,London,Austria,2024-09-04,-6,Early,Austrian,premium,Austrian
Charlotte,London,United States,2024-09-04,10,Delayed,American Airlines,premium,American Airlines
New York,London,United States,2024-09-04,11,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Boston,London,United States,2024-09-04,-8,Early,British Airways,premium,British Airways
Baltimore,London,United States,2024-09-04,11,Delayed,British Airways,premium,British Airways
Madrid,London,Spain,2024-09-04,-10,Early,Iberia,premium,Iberia
New York,London,United States,2024-09-04,-19,Early,JetBlue,budget,Jetblue
Venice,London,Italy,2024-09-04,-30,Early,British Airways,premium,British Airways
Austin,London,United States,2024-09-04,13,Delayed,British Airways,premium,British Airways
New York,London,United States,2024-09-04,-24,Early,British Airways,premium,British Airways
Toronto,London,Canada,2024-09-04,8,Delayed,Air Canada,premium,Air Canada
Oslo,London,Norway,2024-09-04,16,Delayed,SAS - Scandinavian Airlines,premium,Sas - Scandinavian Airlines
Barcelona,London,Spain,2024-09-04,-3,Early,Vueling,budget,Vueling
Denver,London,United States,2024-09-04,-22,Early,United Airlines,premium,United Airlines
Dublin,London,Ireland,2024-09-04,5,Delayed,British Airways,premium,British Airways
Frankfurt,London,Germany,2024-09-04,24,Delayed,Lufthansa,premium,Lufthansa
Montego Bay,London,Jamaica,2024-09-04,-26,Early,Virgin Atlantic,premium,Virgin Atlantic
Malta,London,Malta,2024-09-04,-18,Early,KM Malta Airlines,premium,Km Malta Airlines
Seattle,London,United States,2024-09-04,-17,Early,Virgin Atlantic,premium,Virgin Atlantic
Montreal,London,Canada,2024-09-04,42,Delayed,British Airways,premium,British Airways
Bologna,London,Italy,2024-09-04,-4,Early,British Airways,premium,British Airways
Glasgow,London,United Kingdom,2024-09-04,10,Delayed,British Airways,premium,British Airways
Istanbul,London,Turkey,2024-09-04,2,Delayed,Turkish Airlines,premium,Turkish Airlines
Munich,London,Germany,2024-09-04,19,Delayed,Lufthansa,premium,Lufthansa
San Francisco,London,United States,2024-09-04,-34,Early,British Airways,premium,British Airways
Salt Lake City,London,United States,2024-09-04,-21,Early,Delta Air Lines,premium,Delta Air Lines
Montreal,London,Canada,2024-09-04,9,Delayed,Air Canada,premium,Air Canada
Kuwait,London,Kuwait,2024-09-04,-30,Early,Kuwait Airways,premium,Kuwait Airways
Santiago,London,Chile,2024-09-04,-8,Early,British Airways,premium,British Airways
Lisbon,London,Portugal,2024-09-04,8,Delayed,British Airways,premium,British Airways
Venice,London,Italy,2024-09-04,-15,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,6,Delayed,United Airlines,premium,United Airlines
Los Angeles,London,United States,2024-09-04,-27,Early,British Airways,premium,British Airways
Toronto,London,Canada,2024-09-04,-12,Early,British Airways,premium,British Airways
Rome,London,Italy,2024-09-04,-8,Early,British Airways,premium,British Airways
Warsaw,London,Poland,2024-09-04,-4,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,-21,Early,Delta Air Lines,premium,Delta Air Lines
Los Angeles,London,United States,2024-09-04,-8,Early,Virgin Atlantic,premium,Virgin Atlantic
Mumbai,London,India,2024-09-04,90,Delayed,Air India,premium,Air India
Brussels,London,Belgium,2024-09-04,32,Delayed,Brussels Airlines,premium,Brussels Airlines
Philadelphia,London,United States,2024-09-04,-25,Early,American Airlines,premium,American Airlines
Pittsburgh,London,United States,2024-09-04,14,Delayed,British Airways,premium,British Airways
Paris,London,France,2024-09-04,-15,Early,British Airways,premium,British Airways
Dublin,London,Ireland,2024-09-04,-8,Early,Aer Lingus,premium,Aer Lingus
Lisbon,London,Portugal,2024-09-04,35,Delayed,TAP Portugal,premium,Tap Portugal
San Francisco,London,United States,2024-09-04,-6,Early,United Airlines,premium,United Airlines
Washington,London,United States,2024-09-04,7,Delayed,Virgin Atlantic,premium,Virgin Atlantic
New York,London,United States,2024-09-04,-20,Early,American Airlines,premium,American Airlines
Paris,London,France,2024-09-04,-13,Early,Air France,premium,Air France
Istanbul,London,Turkey,2024-09-04,-3,Early,British Airways,premium,British Airways
Manchester,London,United Kingdom,2024-09-04,-6,Early,British Airways,premium,British Airways
Denver,London,United States,2024-09-04,41,Delayed,British Airways,premium,British Airways
Athens,London,Greece,2024-09-04,4,Delayed,British Airways,premium,British Airways
Madrid,London,Spain,2024-09-04,-6,Early,Iberia,premium,Iberia
Bucharest,London,Romania,2024-09-04,-12,Early,British Airways,premium,British Airways
Washington,London,United States,2024-09-04,0,Cancelled,United Airlines,premium,United Airlines
Amsterdam,London,Netherlands,2024-09-04,6,Delayed,British Airways,premium,British Airways
Frankfurt,London,Germany,2024-09-04,48,Delayed,Lufthansa,premium,Lufthansa
Edinburgh,London,United Kingdom,2024-09-04,-10,Early,British Airways,premium,British Airways
Amsterdam,London,Netherlands,2024-09-04,-27,Early,KLM - Royal Dutch Airlines,premium,Klm - Royal Dutch Airlines
Bengaluru,London,India,2024-09-04,40,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Dallas,London,United States,2024-09-04,-8,Early,British Airways,premium,British Airways
Chicago,London,United States,2024-09-04,674,Delayed,American Airlines,premium,American Airlines
Naples,London,Italy,2024-09-04,-19,Early,British Airways,premium,British Airways
Newcastle,London,United Kingdom,2024-09-04,-2,Early,British Airways,premium,British Airways
Miami,London,United States,2024-09-04,-24,Early,American Airlines,premium,American Airlines
Dublin,London,Ireland,2024-09-04,-11,Early,British Airways,premium,British Airways
Boston,London,United States,2024-09-04,-39,Early,Virgin Atlantic,premium,Virgin Atlantic
Cologne/Bonn,London,Germany,2024-09-04,137,Delayed,British Airways,premium,British Airways
Glasgow,London,United Kingdom,2024-09-04,-4,Early,British Airways,premium,British Airways
Saint Helier,London,Jersey,2024-09-04,-20,Early,British Airways,premium,British Airways
Larnaca,London,Cyprus,2024-09-04,-15,Early,British Airways,premium,British Airways
Washington,London,United States,2024-09-04,0,Cancelled,British Airways,premium,British Airways
Phoenix,London,United States,2024-09-04,-29,Early,American Airlines,premium,American Airlines
Atlanta,London,United States,2024-09-04,-10,Early,Delta Air Lines,premium,Delta Air Lines
New York,London,United States,2024-09-04,9,Delayed,United Airlines,premium,United Airlines
New York,London,United States,2024-09-04,-21,Early,Virgin Atlantic,premium,Virgin Atlantic
Dublin,London,Ireland,2024-09-04,-2,Early,Aer Lingus,premium,Aer Lingus
Geneva,London,Switzerland,2024-09-04,-11,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,-24,Early,British Airways,premium,British Airways
Chicago,London,United States,2024-09-04,60,Delayed,British Airways,premium,British Airways
Athens,London,Greece,2024-09-04,-17,Early,Aegean Airlines,premium,Aegean Airlines
Beirut,London,Lebanon,2024-09-04,-14,Early,MEA,premium,Mea
Belfast,London,United Kingdom,2024-09-04,22,Delayed,British Airways,premium,British Airways
San Francisco,London,United States,2024-09-04,-28,Early,Virgin Atlantic,premium,Virgin Atlantic
Brussels,London,Belgium,2024-09-04,-10,Early,British Airways,premium,British Airways
Isle of Man,London,Isle of Man,2024-09-04,-13,Early,Loganair,budget,Loganair
Los Angeles,London,United States,2024-09-04,-11,Early,United Airlines,premium,United Airlines
Los Angeles,London,United States,2024-09-04,-27,Early,British Airways,premium,British Airways
Cairo,London,Egypt,2024-09-04,-21,Early,British Airways,premium,British Airways
Delhi,London,India,2024-09-04,-26,Early,Air India,premium,Air India
Duesseldorf,London,Germany,2024-09-04,33,Delayed,Eurowings,budget,Eurowings
Hamburg,London,Germany,2024-09-04,-9,Early,British Airways,premium,British Airways
Nashville,London,United States,2024-09-04,-13,Early,British Airways,premium,British Airways
Grand Cayman,London,Cayman Islands,2024-09-04,-22,Early,British Airways,premium,British Airways
Houston,London,United States,2024-09-04,6,Delayed,United Airlines,premium,United Airlines
Frankfurt,London,Germany,2024-09-04,13,Delayed,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-04,-4,Early,British Airways,premium,British Airways
Atlanta,London,United States,2024-09-04,39,Delayed,British Airways,premium,British Airways
Barcelona,London,Spain,2024-09-04,-2,Early,British Airways,premium,British Airways
Prague,London,Czech Republic,2024-09-04,-28,Early,British Airways,premium,British Airways
Chicago,London,United States,2024-09-04,100,Delayed,United Airlines,premium,United Airlines
Calgary,London,Canada,2024-09-04,-33,Early,Air Canada,premium,Air Canada
Toronto,London,Canada,2024-09-04,-4,Early,Air Canada,premium,Air Canada
Reykjavik,London,Iceland,2024-09-04,-15,Early,Icelandair,premium,Icelandair
San Diego,London,United States,2024-09-04,-3,Early,British Airways,premium,British Airways
Amman,London,Jordan,2024-09-04,-26,Early,British Airways,premium,British Airways
Amsterdam,London,Netherlands,2024-09-04,-33,Early,British Airways,premium,British Airways
Chennai,London,India,2024-09-04,0,On Time,British Airways,premium,British Airways
Manchester,London,United Kingdom,2024-09-04,-10,Early,British Airways,premium,British Airways
Grenada,London,Grenada,2024-09-04,-33,Early,Virgin Atlantic,premium,Virgin Atlantic
Calgary,London,Canada,2024-09-04,-36,Early,WestJet,premium,Westjet
Copenhagen,London,Denmark,2024-09-04,-22,Early,British Airways,premium,British Airways
Marseille,London,France,2024-09-04,-29,Early,British Airways,premium,British Airways
Munich,London,Germany,2024-09-04,-9,Early,British Airways,premium,British Airways
Charlotte,London,United States,2024-09-04,-4,Early,American Airlines,premium,American Airlines
Houston,London,United States,2024-09-04,56,Delayed,British Airways,premium,British Airways
Aberdeen,London,United Kingdom,2024-09-04,-9,Early,British Airways,premium,British Airways
Edinburgh,London,United Kingdom,2024-09-04,-12,Early,British Airways,premium,British Airways
Glasgow,London,United Kingdom,2024-09-04,-5,Early,British Airways,premium,British Airways
Chicago,London,United States,2024-09-04,-21,Early,American Airlines,premium,American Airlines
Tampa,London,United States,2024-09-04,93,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Berlin,London,Germany,2024-09-04,-26,Early,British Airways,premium,British Airways
Milan,London,Italy,2024-09-04,-18,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-04,-51,Early,Virgin Atlantic,premium,Virgin Atlantic
Denver,London,United States,2024-09-04,111,Delayed,United Airlines,premium,United Airlines
Paris,London,France,2024-09-04,-16,Early,British Airways,premium,British Airways
Luxembourg,London,Luxembourg,2024-09-04,-29,Early,British Airways,premium,British Airways
Dublin,London,Ireland,2024-09-04,-14,Early,British Airways,premium,British Airways
Dubai,London,United Arab Emirates,2024-09-04,0,On Time,Emirates,premium,Emirates
Geneva,London,Switzerland,2024-09-04,-13,Early,British Airways,premium,British Airways
Newcastle,London,United Kingdom,2024-09-04,-9,Early,British Airways,premium,British Airways
Belgrade,London,Serbia,2024-09-04,-7,Early,Air Serbia,premium,Air Serbia
Miami,London,United States,2024-09-04,-26,Early,Virgin Atlantic,premium,Virgin Atlantic
Mulhouse/Basel,London,France/Switzerland,2024-09-04,-9,Early,British Airways,premium,British Airways
Dublin,London,Ireland,2024-09-04,-13,Early,Aer Lingus,premium,Aer Lingus
Frankfurt,London,Germany,2024-09-04,1,Delayed,Lufthansa,premium,Lufthansa
Nice,London,France,2024-09-04,-18,Early,British Airways,premium,British Airways
Dallas,London,United States,2024-09-04,-8,Early,American Airlines,premium,American Airlines
Portland,London,United States,2024-09-04,-33,Early,British Airways,premium,British Airways
Abu Dhabi,London,United Arab Emirates,2024-09-04,-12,Early,Etihad Airways,premium,Etihad Airways
Lisbon,London,Portugal,2024-09-04,28,Delayed,TAP Portugal,premium,Tap Portugal
Vienna,London,Austria,2024-09-04,-15,Early,British Airways,premium,British Airways
Los Angeles,London,United States,2024-09-04,-42,Early,American Airlines,premium,American Airlines
Munich,London,Germany,2024-09-04,6,Delayed,Lufthansa,premium,Lufthansa
Paris,London,France,2024-09-04,-11,Early,Vueling,budget,Vueling
Stockholm,London,Sweden,2024-09-04,-13,Early,SAS - Scandinavian Airlines,premium,Sas - Scandinavian Airlines
Seattle,London,United States,2024-09-04,-42,Early,British Airways,premium,British Airways
Doha,London,Qatar,2024-09-04,-32,Early,British Airways,premium,British Airways
Rome,London,Italy,2024-09-04,67,Delayed,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-04,-16,Early,Swiss International Airlines,premium,Swiss International Airlines
Stuttgart,London,Germany,2024-09-04,-28,Early,British Airways,premium,British Airways
Aberdeen,London,United Kingdom,2024-09-04,-19,Early,British Airways,premium,British Airways
Bengaluru,London,India,2024-09-04,-1,Early,British Airways,premium,British Airways
Cork,London,Ireland,2024-09-04,-13,Early,Aer Lingus,premium,Aer Lingus
Oslo,London,Norway,2024-09-04,-14,Early,British Airways,premium,British Airways
Valencia,London,Spain,2024-09-04,-5,Early,British Airways,premium,British Airways
Belfast,London,United Kingdom,2024-09-04,-20,Early,British Airways,premium,British Airways
Bologna,London,Italy,2024-09-04,-21,Early,British Airways,premium,British Airways
Islamabad,London,Pakistan,2024-09-04,132,Delayed,British Airways,premium,British Airways
Lyon,London,France,2024-09-04,-17,Early,British Airways,premium,British Airways
Derry,London,United Kingdom,2024-09-04,-15,Early,Loganair,budget,Loganair
Doha,London,Qatar,2024-09-04,-6,Early,Qatar Airways,premium,Qatar Airways
Edinburgh,London,United Kingdom,2024-09-04,6,Delayed,British Airways,premium,British Airways
Atlanta,London,United States,2024-09-04,-28,Early,Delta Air Lines,premium,Delta Air Lines
Vancouver,London,Canada,2024-09-04,-45,Early,Air Canada,premium,Air Canada
Stockholm,London,Sweden,2024-09-04,-21,Early,British Airways,premium,British Airways
Hyderabad,London,India,2024-09-04,10,Delayed,British Airways,premium,British Airways
Malaga,London,Spain,2024-09-04,-18,Early,British Airways,premium,British Airways
Dublin,London,Ireland,2024-09-04,-6,Early,Aer Lingus,premium,Aer Lingus
Kuwait,London,Kuwait,2024-09-04,-10,Early,British Airways,premium,British Airways
Los Angeles,London,United States,2024-09-04,45,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Ibiza,London,Spain,2024-09-04,31,Delayed,British Airways,premium,British Airways
Madrid,London,Spain,2024-09-04,104,Delayed,British Airways,premium,British Airways
Phoenix,London,United States,2024-09-04,-7,Early,British Airways,premium,British Airways
Budapest,London,Hungary,2024-09-04,31,Delayed,British Airways,premium,British Airways
Cairo,London,Egypt,2024-09-04,-13,Early,Egyptair,premium,Egyptair
Tel Aviv-Yafo,London,Israel,2024-09-04,-34,Early,El Al,premium,El Al
Warsaw,London,Poland,2024-09-04,-15,Early,British Airways,premium,British Airways
Berlin,London,Germany,2024-09-04,54,Delayed,British Airways,premium,British Airways
Geneva,London,Switzerland,2024-09-04,-2,Early,British Airways,premium,British Airways
Geneva,London,Switzerland,2024-09-04,-13,Early,Swiss International Airlines,premium,Swiss International Airlines
Pisa,London,Italy,2024-09-04,0,On Time,British Airways,premium,British Airways
Paris,London,France,2024-09-04,-14,Early,Air France,premium,Air France
Lisbon,London,Portugal,2024-09-04,19,Delayed,British Airways,premium,British Airways
San Francisco,London,United States,2024-09-04,-53,Early,British Airways,premium,British Airways
Amsterdam,London,Netherlands,2024-09-04,-39,Early,KLM - Royal Dutch Airlines,premium,Klm - Royal Dutch Airlines
Stuttgart,London,Germany,2024-09-04,-14,Early,Eurowings,budget,Eurowings
Dublin,London,Ireland,2024-09-04,-16,Early,Aer Lingus,premium,Aer Lingus
Venice,London,Italy,2024-09-04,-12,Early,British Airways,premium,British Airways
Los Angeles,London,United States,2024-09-04,-27,Early,British Airways,premium,British Airways
Jeddah,London,Saudi Arabia,2024-09-04,-26,Early,Saudia,premium,Saudia
Prague,London,Czech Republic,2024-09-04,-19,Early,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-04,-6,Early,British Airways,premium,British Airways
Cologne/Bonn,London,Germany,2024-09-04,12,Delayed,Eurowings,budget,Eurowings
Florence,London,Italy,2024-09-04,-20,Early,British Airways,premium,British Airways
Munich,London,Germany,2024-09-04,-9,Early,British Airways,premium,British Airways
Bucharest,London,Romania,2024-09-04,-18,Early,Tarom,premium,Tarom
San Francisco,London,United States,2024-09-04,-26,Early,United Airlines,premium,United Airlines
Vancouver,London,Canada,2024-09-04,-46,Early,British Airways,premium,British Airways
Doha,London,Qatar,2024-09-04,-14,Early,Qatar Airways,premium,Qatar Airways
Dubai,London,United Arab Emirates,2024-09-04,16,Delayed,British Airways,premium,British Airways
Hamburg,London,Germany,2024-09-04,4,Delayed,Eurowings,budget,Eurowings
Las Vegas,London,United States,2024-09-04,-26,Early,Virgin Atlantic,premium,Virgin Atlantic
